object_id,actual_mm,measured_mm,distance_mm
object1,142,138.63,2200
object2,140,141.24,2200
object3,78,74.64,2200
object4,150,149.17,2200
object5,57,56.86,2200
object6,122,120.4,2200
object7,181,180.2,2200
object8,142,139.16,2200
object9,72,70.2,2200
object10,215,215.6,2200
object11,255,253.3,2200
object12,62,60.3,2200
object13,204,206.53,2200
object14,150,152.27,2200
object15,55,53.34,2200
object16,290,288.7,2200
object17,315,316.63,2200
object18,51,50.2,2200
object19,215,213.27,2200
object20,175,174.42,2200
object21,585,586.97,2200
object22,560,562.05,2200
